metric_id,metric_name,score,condition,evidence_required,notes
C1,"Профиль жидких категорий",0,"нет подтверждения работы с жидкими категориями","нет",""
C1,"Профиль жидких категорий",1,"есть общий фулфилмент без категорийной фактуры","официальный сайт",""
C1,"Профиль жидких категорий",2,"упомянута косметика/бытовые товары без процесса","официальная страница",""
C1,"Профиль жидких категорий",3,"есть отдельная категория или несколько релевантных операций","официальная страница",""
C1,"Профиль жидких категорий",4,"есть профильная категория и подробный процесс","официальная страница/кейс",""
C1,"Профиль жидких категорий",5,"несколько жидких категорий и/или профильные кейсы","официальные страницы + кейс",""
C2,"Входной контроль и риски жидкого товара",0,"нет подтверждения контроля","нет",""
C2,"Входной контроль и риски жидкого товара",1,"общий пересчет","официальный сайт",""
C2,"Входной контроль и риски жидкого товара",2,"визуальная проверка на брак","официальный сайт",""
C2,"Входной контроль и риски жидкого товара",3,"контроль целостности тары или сроков","официальная страница",""
C2,"Входной контроль и риски жидкого товара",4,"контроль нескольких рисков категории","официальная страница/кейс",""
C2,"Входной контроль и риски жидкого товара",5,"протечки/герметичность + сроки/партии или подтвержденный кейс с браком","официальная страница/кейс",""
C3,"Защитная упаковка",0,"нет подтверждения","нет",""
C3,"Защитная упаковка",1,"только пакет/короб без профильной защиты","официальный сайт",""
C3,"Защитная упаковка",2,"один вид защитной упаковки","официальный сайт",""
C3,"Защитная упаковка",3,"ВПП или термоусадка + варианты упаковки","официальный сайт",""
C3,"Защитная упаковка",4,"ВПП и термоусадка/короб, описан выбор схемы","официальная страница",""
C3,"Защитная упаковка",5,"несколько схем защиты + профильный процесс/автоматизация","официальная страница/кейс",""
C4,"Маркировка и комплектация",0,"нет подтверждения","нет",""
C4,"Маркировка и комплектация",1,"обычный штрихкод","официальный сайт",""
C4,"Маркировка и комплектация",2,"маркировка маркетплейсов","официальный сайт",""
C4,"Маркировка и комплектация",3,"Честный знак или комплектация","официальный сайт",""
C4,"Маркировка и комплектация",4,"Честный знак + комплектация/вложения","официальный сайт",""
C4,"Маркировка и комплектация",5,"Честный знак + контроль кода + сложные наборы/вложения","официальная страница/кейс",""
C5,"FBO/FBS и маркетплейсы",0,"нет подтверждения","нет",""
C5,"FBO/FBS и маркетплейсы",1,"только подготовка без отгрузки","официальный сайт",""
C5,"FBO/FBS и маркетплейсы",2,"одна схема или один маркетплейс","официальный сайт",""
C5,"FBO/FBS и маркетплейсы",3,"FBO или аналогичный полный цикл на нескольких площадках","официальный сайт",""
C5,"FBO/FBS и маркетплейсы",4,"FBO+FBS или широкий многоканальный цикл","официальный сайт",""
C5,"FBO/FBS и маркетплейсы",5,"FBO+FBS с регулярными/подтвержденными отгрузками на 2+ площадки","официальная страница/кейс",""
C6,"Производительность и кейсы",0,"нет данных","нет",""
C6,"Производительность и кейсы",1,"общие заявления без цифр","официальный сайт",""
C6,"Производительность и кейсы",2,"есть одна масштабная цифра без профильного кейса","официальный сайт",""
C6,"Производительность и кейсы",3,"есть SLA/мощность или один профильный пример","официальный сайт/кейс",""
C6,"Производительность и кейсы",4,"есть измеримый кейс или несколько операционных показателей","официальный кейс",""
C6,"Производительность и кейсы",5,"есть профильные кейсы с объемом, сроком и результатом или высокая подтвержденная мощность","официальные кейсы",""
C7,"Прозрачность управления",0,"нет открытой информации","нет",""
C7,"Прозрачность управления",1,"только форма заявки","официальный сайт",""
C7,"Прозрачность управления",2,"есть часть тарифов или отчетность","официальный сайт",""
C7,"Прозрачность управления",3,"прайс или система учета/договор","официальный сайт",""
C7,"Прозрачность управления",4,"WMS/личный кабинет + прайс/SLA/договор","официальный сайт",""
C7,"Прозрачность управления",5,"WMS/онлайн-остатки + подробный прайс и измеримые SLA/ответственность","официальные страницы",""
