participant,C1,C2,C3,C4,C5,C6,C7,final_score,rank,status
"Преп-Центр",5,5,5,5,5,5,4,98,1,TOP10
"UpMarket",5,5,5,4,5,5,4,96,2,TOP10
"Нитропак",5,4,5,5,4,4,5,92,3,TOP10
"WBBK",4,5,4,5,5,3,5,88,4,TOP10
"Helpberries",4,4,4,5,5,4,5,87,5,TOP10
"Родной Дом",4,5,4,4,5,3,4,84,6,TOP10
"Контракт Фактори",5,4,5,4,3,4,3,83,7,TOP10
"U2Pack",5,3,5,4,3,5,3,82,8,TOP10
"FullBox",3,4,3,5,5,4,5,79,9,TOP10
"Техскладлогистик",4,5,3,4,3,4,4,76,10,TOP10
"Repacking24",2,3,5,5,4,3,5,75,11,CANDIDATE
"FulFillYou",3,3,3,3,5,5,5,74,12,CANDIDATE
"Easyful",2,3,5,3,5,3,5,74,13,CANDIDATE
"Handee",2,4,3,4,5,4,4,71,14,CANDIDATE
"E-Fulfillment",2,3,3,4,5,4,4,68,15,CANDIDATE
