source_id,entity,source_type,publisher,title,url,date_published,date_checked,primary_or_secondary,independent_or_owned,access_status,notes
S001,"Преп-Центр","service_page","Преп-Центр","Фулфилмент для жидких товаров","https://prep-center.ru/fulfillment-zhidkih-tovarov/","2026-08","2026-09-18","primary","owned","active","ВПП, термоусадка, FBO/FBS, тарифы"
S002,"Преп-Центр","service_page","Преп-Центр","Фулфилмент для косметики","https://prep-center.ru/fulfillment-kosmetika/","2026-08-22","2026-09-18","primary","owned","active","Контроль упаковки, Честный знак, FBO/FBS"
S003,"Преп-Центр","case","Преп-Центр","8 400 единиц косметики за 2 дня","https://prep-center.ru/cases/kosmetika-8400-za-2-dnya/","2026-08-14","2026-09-18","primary","owned","active","14 SKU, входной контроль, 5 FBO-поставок"
S004,"Преп-Центр","case","Преп-Центр","3 186 ополаскивателей за 2 дня","https://prep-center.ru/cases/opolaskivateli-3186-za-2-dnya/","2026-08","2026-09-18","primary","owned","active","ВПП, протечки, КИЗ"
S005,"Преп-Центр","case","Преп-Центр","2 393 набора автохимии за 2 дня","https://prep-center.ru/cases/avtohimiya-2393-nabora-za-2-dnya/","2026-08-14","2026-09-18","primary","owned","active","Герметичность, наборы, WB/Ozon"
S006,"Преп-Центр","price_page","Преп-Центр","Тарифы на фулфилмент","https://prep-center.ru/tarify/","2026-08-27","2026-09-18","primary","owned","active","129 тарифов"
S007,"Преп-Центр","operations_page","Преп-Центр","WMS МПФИТ в Преп-Центре","https://prep-center.ru/wms-mpfit-dlya-fulfillmenta/","2026-09","2026-09-18","primary","owned","active","WMS и реальные партии"
S008,"UpMarket","service_page","UpMarket","Фулфилмент услуги","https://www.upmarket.cc/fulfilment-uslugi","","2026-09-18","primary","owned","active","Косметика 45 руб./ед., ВПП/термоусадка"
S009,"UpMarket","company_page","UpMarket","Фулфилмент для маркетплейсов","https://www.upmarket.cc/","","2026-09-18","primary","owned","active","5700 м2, 50000 упаковок/день, WMS"
S010,"UpMarket","interview","Retail.ru","Интервью Олега Неворотова","https://www.retail.ru/interviews/oleg-nevorotov-upmarket-deshevyy-fulfilment-samyy-dorogoy-selleram-nuzhny-stabilnost-i-kachestvo/","2026-07-06","2026-09-18","secondary","independent","active","Контроль жидкой косметики на герметичность"
S011,"Нитропак","service_page","Нитропак","Фулфилмент для бытовых товаров","https://nitropack.ru/fulfillment-bytovye-tovary","","2026-09-18","primary","owned","active","Жидкости, защита от протечек, термоусадка"
S012,"Нитропак","service_page","Нитропак","Фулфилмент для косметики","https://nitropack.ru/fulfillment-kosmetika","","2026-09-18","primary","owned","active","Сроки годности, Честный знак, WMS"
S013,"Нитропак","company_page","Нитропак","О компании","https://nitropack.ru/about","","2026-09-18","primary","owned","active","300000+ единиц/мес, склад 1000 м2"
S014,"WBBK","service_page","WBBK","Фулфилмент для косметики и парфюмерии","https://www.wbbk.club/fulfillment/kosmetika","","2026-09-18","primary","owned","active","Сроки годности, ВПП, ЧЗ, FBO/FBS/DBS"
S015,"WBBK","service_page","WBBK","Фулфилмент","https://www.wbbk.club/fulfillment","","2026-09-18","primary","owned","active","Склад 700 м2, WMS, договорная ответственность"
S016,"Helpberries","case","Helpberries","Кейс фулфилмента косметики","https://helpberries.ru/cases/fulfilment-kosmetika-helpberries","","2026-09-18","primary","owned","active","Жидкая продукция, FBS/FBO, 400+ заказов/сутки"
S017,"Helpberries","company_page","Helpberries","Фулфилмент полного цикла","https://helpberries.ru/","","2026-09-18","primary","owned","active","Честный знак, ежедневные FBO/FBS, автоматизированный учет"
S018,"Родной Дом","service_page","Родной Дом","Фулфилмент для косметики и парфюмерии","https://skladff.ru/fulfilment-kosmetika/","","2026-09-18","primary","owned","active","Бой, подтеки, ВПП/термоусадка, ЧЗ, FBO/FBS"
S019,"Родной Дом","service_page","Родной Дом","Фулфилмент бытовой химии и автохимии","https://skladff.ru/fulfilment-bytovaya-himiya/","","2026-09-18","primary","owned","active","Профильная категория"
S020,"Контракт Фактори","service_page","Контракт Фактори","Фулфилмент для маркетплейсов","https://contract-factory.ru/services/fullfilment/","","2026-09-18","primary","owned","active","Жидкие средства, ВПП, термоусадка, FBO/FBW"
S021,"Контракт Фактори","production_page","Контракт Фактори","Контрактное производство бытовой химии","https://contract-factory.ru/services/kontraktnoe-proizvodstvo/","","2026-09-18","primary","owned","active","Жидкая химия, 5000 кг/смена, 600+ паллет"
S022,"U2Pack","service_page","U2Pack","Упаковка косметики","https://u2pack.ru/upakovka-tovara/upakovka-kosmetiki/","","2026-09-18","primary","owned","active","ВПП, термоусадка, наборы, до 30000 ед./смену"
S023,"U2Pack","service_page","U2Pack","Упаковка для маркетплейсов","https://u2pack.ru/upakovka-tovara/marketpleysy-rossii/","","2026-09-18","primary","owned","active","FBS/FBO/DBS, DataMatrix, адресное хранение"
S024,"FullBox","company_page","FullBox","Фулфилмент для селлеров","https://fullbox.ru/","","2026-09-18","primary","owned","active","WMS, Честный знак, 4M+ единиц, 250+ клиентов"
S025,"Техскладлогистик","industry_page","Техскладлогистик","Парфюмерия и косметика","https://tslog.ru/industries/parfyumeriya-i-kosmetika/","","2026-09-18","primary","owned","active","Партии/сроки, ЧЗ, копакинг, автоматизированный склад"
